,ensembl_gene_id,id,DL_OR
326,ENSMUSG00000073966,Olfr561,OR51F5
327,ENSMUSG00000090874,Olfr733,OR4N4B
328,ENSMUSG00000058981,Olfr1406,OR10J7
329,ENSMUSG00000059874,Olfr603,OR52E19B
330,ENSMUSG00000047716,Olfr736,OR11J4
331,ENSMUSG00000073970,Olfr555,OR51H1
332,ENSMUSG00000062712,Olfr531,OR2J6
333,ENSMUSG00000075088,Olfr1239,OR4A2
334,ENSMUSG00000068950,Olfr338,OR1J10
335,ENSMUSG00000093866,Olfr802,OR6C1
336,ENSMUSG00000044040,Olfr1497,OR9Q2
337,ENSMUSG00000053391,Olfr211,OR13A1
338,ENSMUSG00000059887,Olfr1507,OR4E5
339,ENSMUSG00000054036,Olfr279,OR11M3
340,ENSMUSG00000078420,Olfr141,OR5T18
341,ENSMUSG00000043892,Olfr1018,OR2AH1
342,ENSMUSG00000059319,Olfr295,OR14C41
343,ENSMUSG00000050803,Olfr866,OR7E173
344,ENSMUSG00000073914,Olfr677,OR52E4
345,ENSMUSG00000049758,Olfr1318,OR4F62
346,ENSMUSG00000063780,Olfr282,OR8S10
347,ENSMUSG00000070417,Olfr2,OR6A2
348,ENSMUSG00000043948,Olfr691,OR52B2
349,ENSMUSG00000063582,Olfr666,OR52N2
350,ENSMUSG00000075072,Olfr48,OR4C58
351,ENSMUSG00000063350,Olfr874,OR8B12
352,ENSMUSG00000073915,Olfr676,OR52E7
353,ENSMUSG00000048356,Olfr1496,OR1S2
354,ENSMUSG00000095156,Olfr1281,OR4K37
355,ENSMUSG00000059910,Olfr1265,OR4X11
356,ENSMUSG00000056184,Olfr283,OR8S2
357,ENSMUSG00000096289,Olfr1484,OR5B122
358,ENSMUSG00000075066,Olfr32,OR4B1D
359,ENSMUSG00000066239,Olfr519,OR10A3N
360,ENSMUSG00000059087,Olfr698,OR2AG16
361,ENSMUSG00000100899,Olfr1167,OR5D39
362,ENSMUSG00000095212,Olfr473,OR5P53
363,ENSMUSG00000073900,Olfr704,OR2AG20
364,ENSMUSG00000066269,Olfr575,OR51A6
365,ENSMUSG00000111174,Olfr1240,OR4A68
366,ENSMUSG00000044994,Olfr1426,OR4D10C
367,ENSMUSG00000090097,Olfr1182,OR4P21
368,ENSMUSG00000074952,Olfr1308,OR4F57
369,ENSMUSG00000054940,Olfr137,OR2J3
370,ENSMUSG00000110008,Olfr560,OR51F23B
371,ENSMUSG00000061520,Olfr153,OR5W22
372,ENSMUSG00000066241,Olfr514,OR10A48
373,ENSMUSG00000094535,Olfr850,OR7G32
374,ENSMUSG00000110526,Olfr151,OR8A1
375,ENSMUSG00000075061,Olfr1272,OR4B1B
376,ENSMUSG00000048456,Olfr1448,OR5B12
377,ENSMUSG00000063386,Olfr1387,OR2Y15
378,ENSMUSG00000084336,Olfr1269,OR4X6
379,ENSMUSG00000057444,Olfr915,OR8B1D
380,ENSMUSG00000081649,Olfr213,OR6D13
381,ENSMUSG00000094970,Olfr943,OR8G26
382,ENSMUSG00000074966,Olfr1275,OR4F52
383,ENSMUSG00000093934,Olfr971,OR8G2B
384,ENSMUSG00000094588,Olfr898,OR8C20
385,ENSMUSG00000063764,Olfr508,OR5P80
386,ENSMUSG00000096794,Olfr905,OR8B1C
387,ENSMUSG00000060583,Olfr881,OR8B35
388,ENSMUSG00000096584,Olfr611,OR51AA5
389,ENSMUSG00000058662,Olfr69,OR52A5B
390,ENSMUSG00000095839,Olfr965,OR8G52
391,ENSMUSG00000063881,Olfr376,OR1E1C
392,ENSMUSG00000059864,Olfr1393,OR2Y1G
393,ENSMUSG00000062914,Olfr777,OR6C207
394,ENSMUSG00000044293,Olfr794,OR6C88
395,ENSMUSG00000094449,Olfr972,OR8G55
396,ENSMUSG00000073950,Olfr599,OR52AB4
397,ENSMUSG00000050198,Olfr768,OR6C38
398,ENSMUSG00000063615,Olfr64,OR51B17
399,ENSMUSG00000075194,Olfr1049,OR8K18
400,ENSMUSG00000075141,Olfr1160,OR9M1B
401,ENSMUSG00000042863,Olfr1026,OR5M13B
402,ENSMUSG00000047225,Olfr684,OR56A4
403,ENSMUSG00000049362,Olfr173,OR5K1
404,ENSMUSG00000050853,Olfr958,OR10D3
405,ENSMUSG00000094192,Olfr452,OR2F2
406,ENSMUSG00000075161,Olfr1109,OR5AQ6
407,ENSMUSG00000075171,Olfr1095,OR5T15
408,ENSMUSG00000050215,Olfr70,OR13E8
409,ENSMUSG00000075073,Olfr1256,OR4A47
410,ENSMUSG00000064252,Olfr329,OR2T29
411,ENSMUSG00000094673,Olfr1354,OR7A38
412,ENSMUSG00000064121,Olfr96,OR11A4
413,ENSMUSG00000109835,Olfr730,OR4K2
414,ENSMUSG00000049372,Olfr1183,OR4C31
415,ENSMUSG00000055033,Olfr420,OR6K2
416,ENSMUSG00000073947,Olfr615,OR51AH3
417,ENSMUSG00000051706,Olfr1325,OR13AE2
418,ENSMUSG00000096708,Olfr1475,OR5B119
419,ENSMUSG00000069390,Olfr707,OR2D3
420,ENSMUSG00000070379,Olfr402,OR3A1C
421,ENSMUSG00000095312,Olfr382,OR1E23
422,ENSMUSG00000063216,Olfr1351,OR7A35
423,ENSMUSG00000044286,Olfr221,OR5AU1
424,ENSMUSG00000073110,Olfr444,OR2A56
425,ENSMUSG00000075172,Olfr1090,OR8K40
426,ENSMUSG00000075121,Olfr1195,OR4C103
427,ENSMUSG00000060205,Olfr57,OR7A41
428,ENSMUSG00000060017,Olfr121,OR10AL5
429,ENSMUSG00000058251,Olfr822,OR6C69C
430,ENSMUSG00000060112,Olfr60,OR13A27
431,ENSMUSG00000042801,Olfr769,OR6C2B
432,ENSMUSG00000111567,Olfr1251,OR4A78
433,ENSMUSG00000056853,Olfr765,OLFR765
434,ENSMUSG00000109354,Olfr706,OR2AG2
435,ENSMUSG00000075137,Olfr1163,OR5D36
436,ENSMUSG00000059862,Olfr826,OR9K2B
437,ENSMUSG00000109884,Olfr490,OR5P66
438,ENSMUSG00000073906,Olfr692,OR52W1
439,ENSMUSG00000063660,Olfr98,OR1O3
440,ENSMUSG00000047352,Olfr976,OR10D5J
441,ENSMUSG00000037924,Olfr16,OR10J5
442,ENSMUSG00000062878,Olfr298,OR14A257
443,ENSMUSG00000042909,Olfr648,OR52H1
