sample_name,exp_date,Count,Geo_Mean,Robust_CV,Median,OR,RTP1S,Gfy,Clgn,Syt1,Syt5,pCI,Total,others,gene-mix,RTP2,Syt_genes
Olfr1377_RGC_21minus_Acsl6,10122022,10055,1372.0,81.5,1413.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Cfap206,10122022,10059,1492.0,79.6,1555.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Pde6d,10122022,10065,1323.0,79.1,1376.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Slc24a2,10122022,10095,1228.0,80.1,1223.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Ttc21a,10122022,10077,1256.0,81.0,1268.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Fam217a,10122022,10066,1347.0,80.1,1389.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Herpud1,10122022,10062,1198.0,79.6,1197.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Tmbim6,10122022,10052,1191.0,76.9,1199.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Manea,10122022,10066,1276.0,81.0,1292.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Clstn2,10122022,10061,1156.0,81.2,1150.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Ccdc184,10122022,10080,1095.0,80.5,1082.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Ebf2,10122022,10075,1315.0,79.0,1335.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
ORS6,10122022,5000,183.0,88.5,149.0,1000,0,0.0,0.0,,,1000.0,2000,,0.0,,
ORS6_RGC,10122022,5118,1137.0,149.0,1141.0,1000,100,150.0,150.0,,,600.0,2000,,0.0,,
ORS6_RGC_21MIX,10122022,5000,1313.0,155.0,1340.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
RhopCI,02062023,10011,77.6,85.6,74.5,0,0,0.0,0.0,0.0,0.0,0.0,0,,,,
Olfr1377,02062023,10000,159.0,63.5,146.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,,,
Olfr1377_Syt1,02062023,10000,183.0,70.5,158.0,1000,0,0.0,0.0,600.0,0.0,400.0,2000,,,,
Olfr1377_R,02062023,10000,1476.0,83.9,1696.0,1000,100,0.0,0.0,0.0,0.0,900.0,2000,,,,
Olfr1377_R_Syt1,02062023,10000,1696.0,85.3,1994.0,1000,100,0.0,0.0,600.0,0.0,300.0,2000,,,,
Olfr1377_G_Syt1,02062023,10000,181.0,67.6,158.0,1000,0,150.0,0.0,600.0,0.0,250.0,2000,,,,
Olfr1377_C_Syt1,02062023,10000,184.0,70.2,161.0,1000,0,0.0,150.0,600.0,0.0,250.0,2000,,,,
Olfr1377_GC_Syt1,02062023,10000,177.0,69.5,156.0,1000,0,150.0,150.0,600.0,0.0,100.0,2000,,,,
Olfr1377_RGC,02062023,10000,1454.0,88.1,1636.0,1000,100,150.0,150.0,0.0,0.0,600.0,2000,,,,
